contributor,site_id,long_site,lat_site,gps_accuracy,long_actual,lat_actual,skip_reason,time_submitted,foto_towards_point_compass,lively,relaxing,tranquil,noisy,crowded,safe,beauty,biodiversity,trees,shrubs,lawns,flowers,natveg,benches,play,sports,garbage,veget,paths,facilities,age_cats,gender,dutch,education,visit_freq,visit_daily,alone,oth_parks,more_inv,nature,walking,jogging,biking,relaxing.y,socialising,children,photos,geometry
7bd489ccb84be653c1300dab7a5a2ce4,6.0,4.848669999999999,52.3651,10.0,4.848675,52.36526,noskip,2018-06-07T23:19:53,258.0,5.0,5.0,5.0,1.0,3.0,5.0,10.0,10.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,True,3.0,2.0,False,True,3.0,True,1.0,False,False,True,True,True,,https://gpcl01.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/52/41a53376-e526-4676-af0c-a512d0775ad9,POINT (4.848675 52.36526)
53c3bb91ed8bd3685314dab0cfaf2562,28.0,4.84845,52.3589,10.0,4.848408,52.35876,noskip,2018-06-10T23:29:06,335.0,4.0,5.0,5.0,4.0,2.0,4.0,8.0,9.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,True,4.0,2.0,False,False,3.0,True,1.0,True,True,False,True,False,False,https://gpcl06.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/63/3fc1dd06-d0b7-4c70-a1d3-6175a251fce1,POINT (4.848408 52.35876)
1928f2009a68aa08f44ad00ad9249425,5.0,4.84984,52.3648,10.0,4.849728,52.3647,noskip,2018-06-11T19:56:32,214.0,2.0,4.0,5.0,2.0,2.0,2.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,1.0,True,4.0,2.0,False,True,3.0,False,1.0,False,False,True,True,False,,https://gpcl01.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/70/27736a68-ab8f-4eb5-8ef1-560e05994937,POINT (4.849728 52.3647)
f8276ab224ce4f170d6007d3481bc012,24.0,4.8453800000000005,52.3606,10.0,4.845305000000001,52.36067,noskip,2018-06-12T00:29:51,52.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,9.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,7.0,1.0,True,4.0,1.0,True,True,2.0,False,1.0,True,True,True,True,True,,https://gpcl02.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/77/df9c2a2a-515f-4f8b-8eb2-f2dc47176b10,POINT (4.845305 52.36067)
25916b6367e4fe19226cb574add5563e,19.0,4.84771,52.3606,10.0,4.847917,52.36084,noskip,2018-06-12T14:50:21,154.0,4.0,3.0,3.0,3.0,5.0,2.0,9.0,7.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,2.0,True,4.0,1.0,True,False,5.0,True,1.0,True,False,False,True,True,False,https://gpcl08.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/82/45bf30f6-0e6e-4787-8270-c8e0e6fcb2fd,POINT (4.847917 52.36084)
dafbefc7c51f163658b89e5bcd6b29b4,18.0,4.84631,52.3607,10.0,4.846253,52.36079,noskip,2018-06-13T20:06:48,6.0,4.0,2.0,2.0,3.0,4.0,3.0,7.0,7.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0,6.0,2.0,True,4.0,3.0,False,True,5.0,True,2.0,False,False,True,False,False,,https://gpcl10.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/89/dc44b8b5-9b4e-41e8-8bfa-3cf97846eb1a,POINT (4.846253 52.36079)
38bbaf0f098ae66e96fba7f8b86f1e8c,17.0,4.84514,52.3619,5.0,4.845177,52.36188,noskip,2018-06-13T23:57:38,303.0,5.0,1.0,1.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,,,,,2.0,False,True,3.0,True,,False,True,False,True,False,,https://gpcl02.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/94/78588d6d-19ee-4ad6-baa1-5eab0137cd7d,POINT (4.845177 52.36188)
4a9c75cdd64ed8c9b12b7b49c69a40da,17.0,4.84514,52.3619,4.0,4.845181,52.36186,noskip,2018-06-14T22:57:32,4.0,2.0,2.0,2.0,4.0,3.0,1.0,7.0,7.0,4.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,True,4.0,1.0,True,False,2.0,True,1.0,True,True,True,True,True,False,https://gpcl07.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/100/25c75dd0-e601-4eef-a018-b5cbc841288a,POINT (4.845181 52.36186)
3aa342280ccb0fb8aa4284fbc3b85708,3.0,4.84797,52.3665,10.0,4.848019,52.36653,noskip,2018-06-17T18:32:37,230.0,5.0,4.0,2.0,5.0,3.0,3.0,9.0,7.0,5.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,1.0,True,4.0,1.0,True,True,2.0,False,2.0,False,True,True,True,False,,https://gpcl09.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/111/94c0b81c-8411-47db-a06d-d76aadfc6201,POINT (4.848019 52.36653)
c79451c5451efcf543f00c2c029b9bd7,21.0,4.8467199999999995,52.3594,10.0,4.846838,52.35946,noskip,2018-06-23T13:53:52,137.0,4.0,5.0,4.0,3.0,2.0,4.0,8.0,9.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,,,,,1.0,True,True,5.0,True,,False,False,False,True,False,,https://gpcl09.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/118/fdc96fce-2221-4751-b550-ceaf7faa4776,POINT (4.846838 52.35946)
